dialogID,ppl,position,type,model
42,6.99834007569576,0,compressed,Transformer
42,5.08477360022996,1,compressed,Transformer
42,5.16155296968142,2,compressed,Transformer
42,5.79338763959047,3,compressed,Transformer
42,5.24514171421237,4,compressed,Transformer
42,3.34006953550653,5,compressed,Transformer
42,7.59473021969431,6,compressed,Transformer
42,4.52304443273537,7,compressed,Transformer
42,7.19874879381931,8,compressed,Transformer
42,9.54781763725492,9,compressed,Transformer
42,4.9180779811917,10,compressed,Transformer
42,4.14415952968965,11,compressed,Transformer
42,6.38524258634693,12,compressed,Transformer
42,7.53351142300871,13,compressed,Transformer
42,6.67325354388385,14,compressed,Transformer
42,3.47543341302536,15,compressed,Transformer
42,5.12401989227947,16,compressed,Transformer
42,10.1646652295056,17,compressed,Transformer
42,11.716580465936,18,compressed,Transformer
42,6.20367234182947,19,compressed,Transformer
42,18.4399199956084,20,compressed,Transformer
43,25.9497735155982,0,compressed,Transformer
43,29.3594395527507,1,compressed,Transformer
43,17.1365434359526,2,compressed,Transformer
43,10.5754602182189,3,compressed,Transformer
43,16.2399677276668,4,compressed,Transformer
43,12.5312636526987,5,compressed,Transformer
43,19.8491764488105,6,compressed,Transformer
43,12.8131932014516,7,compressed,Transformer
43,16.9517066967169,8,compressed,Transformer
43,8.12549157149928,9,compressed,Transformer
43,10.1857516553177,10,compressed,Transformer
43,11.2199679711716,11,compressed,Transformer
43,16.8324683300276,12,compressed,Transformer
43,12.5533441571434,13,compressed,Transformer
43,11.0130558955148,14,compressed,Transformer
43,21.0905892294334,15,compressed,Transformer
43,27.9634495693782,16,compressed,Transformer
43,16.2209213641015,17,compressed,Transformer
43,12.7770223631097,18,compressed,Transformer
43,27.0846751876872,19,compressed,Transformer
43,14.1216473459797,20,compressed,Transformer
43,17.4706156310764,21,compressed,Transformer
43,10.9241996760494,22,compressed,Transformer
43,8.21873043297249,23,compressed,Transformer
43,9.5492769064899,24,compressed,Transformer
43,9.07218653447541,25,compressed,Transformer
43,17.9953021312783,26,compressed,Transformer
43,10.0089855822468,27,compressed,Transformer
43,11.1281660870043,28,compressed,Transformer
43,12.7747439491999,29,compressed,Transformer
43,12.4917958618697,30,compressed,Transformer
43,10.1113250898595,31,compressed,Transformer
43,11.8860353166505,32,compressed,Transformer
43,10.0878453870758,33,compressed,Transformer
43,8.96898107923783,34,compressed,Transformer
43,12.4852036983377,35,compressed,Transformer
43,19.6146433641667,36,compressed,Transformer
43,19.777303233705,37,compressed,Transformer
43,14.0749086317881,38,compressed,Transformer
43,12.2807885721111,39,compressed,Transformer
43,11.884485300872,40,compressed,Transformer
43,9.43292238581186,41,compressed,Transformer
43,11.8544148269816,42,compressed,Transformer
43,9.06053989220154,43,compressed,Transformer
44,2.97248063360337,0,compressed,Transformer
44,3.52690571471256,1,compressed,Transformer
44,5.06428823702592,2,compressed,Transformer
44,3.31285400098882,3,compressed,Transformer
44,4.09254364029657,4,compressed,Transformer
44,2.94662574605036,5,compressed,Transformer
44,4.98048799802814,6,compressed,Transformer
44,2.93768453634202,7,compressed,Transformer
44,3.74044403548414,8,compressed,Transformer
44,3.58150613345545,9,compressed,Transformer
44,3.74938912599881,10,compressed,Transformer
45,5.47030113901614,0,compressed,Transformer
45,3.33934256111219,1,compressed,Transformer
45,5.65392903020902,2,compressed,Transformer
45,6.65832018662539,3,compressed,Transformer
45,6.21237907964757,4,compressed,Transformer
45,7.16814860750654,5,compressed,Transformer
45,4.23377796497366,6,compressed,Transformer
45,5.7825239376345,7,compressed,Transformer
45,4.47090309381733,8,compressed,Transformer
45,3.56520359234812,9,compressed,Transformer
45,5.70412160988461,10,compressed,Transformer
45,3.3671116501569,11,compressed,Transformer
45,4.10094751053828,12,compressed,Transformer
46,2.40995849461716,0,compressed,Transformer
46,2.328132046744,1,compressed,Transformer
46,3.82658708249077,2,compressed,Transformer
47,7.43732655165434,0,compressed,Transformer
47,4.11191040472593,1,compressed,Transformer
47,4.5908803938998,2,compressed,Transformer
47,5.13519070781736,3,compressed,Transformer
47,4.05705420009396,4,compressed,Transformer
47,5.65719820516851,5,compressed,Transformer
47,5.6491759531218,6,compressed,Transformer
47,5.56327122470061,7,compressed,Transformer
47,4.88198130549961,8,compressed,Transformer
47,5.9337468552171,9,compressed,Transformer
47,5.55122212633552,10,compressed,Transformer
47,7.49836617862588,11,compressed,Transformer
47,9.49759219108762,12,compressed,Transformer
47,4.72967726596859,13,compressed,Transformer
47,5.86103333382346,14,compressed,Transformer
47,5.41736818952683,15,compressed,Transformer
48,10.3906006437727,0,compressed,Transformer
48,3.84326420783271,1,compressed,Transformer
48,7.86533548383163,2,compressed,Transformer
48,8.03879007374835,3,compressed,Transformer
48,5.02225105297483,4,compressed,Transformer
49,4.74409581640691,0,compressed,Transformer
49,4.93291739303309,1,compressed,Transformer
49,5.10257038851867,2,compressed,Transformer
49,7.97584187783285,3,compressed,Transformer
49,7.35473468892348,4,compressed,Transformer
49,4.83017983271294,5,compressed,Transformer
49,5.04091776845933,6,compressed,Transformer
49,4.30533144651557,7,compressed,Transformer
49,6.70629400229859,8,compressed,Transformer
49,5.29885732144661,9,compressed,Transformer
49,4.84209980516542,10,compressed,Transformer
49,7.18456199728608,11,compressed,Transformer
49,12.4633024779816,12,compressed,Transformer
49,5.37722743389849,13,compressed,Transformer
49,9.05380904686409,14,compressed,Transformer
49,7.06787654927116,15,compressed,Transformer
49,7.66712910569458,16,compressed,Transformer
49,6.19927588356089,17,compressed,Transformer
49,6.48180025628661,18,compressed,Transformer
49,6.89829017104431,19,compressed,Transformer
49,5.87661802725948,20,compressed,Transformer
49,7.06846215032622,21,compressed,Transformer
49,6.41076101090532,22,compressed,Transformer
49,4.39355589420795,23,compressed,Transformer
49,5.85047238485605,24,compressed,Transformer
49,7.54967954067477,25,compressed,Transformer
49,7.76467520112039,26,compressed,Transformer
49,6.60589754951073,27,compressed,Transformer
49,8.55299675507041,28,compressed,Transformer
49,9.65921735959219,29,compressed,Transformer
50,3.51644767165782,0,compressed,Transformer
50,4.59105935650587,1,compressed,Transformer
50,7.53877052767534,2,compressed,Transformer
50,6.19270881512463,3,compressed,Transformer
50,5.68077195203285,4,compressed,Transformer
50,4.15509875174823,5,compressed,Transformer
50,4.93908459260609,6,compressed,Transformer
50,8.42662464323413,7,compressed,Transformer
50,6.1821464021666,8,compressed,Transformer
50,8.76950937183657,9,compressed,Transformer
50,4.62821437785389,10,compressed,Transformer
50,4.28808595226994,11,compressed,Transformer
50,7.14032606644953,12,compressed,Transformer
50,6.91157716751578,13,compressed,Transformer
51,5.64012417523547,0,compressed,Transformer
51,4.41187767279031,1,compressed,Transformer
51,3.38757669708721,2,compressed,Transformer
51,6.10790833084528,3,compressed,Transformer
51,4.47094359996261,4,compressed,Transformer
51,4.41191501446135,5,compressed,Transformer
51,4.38003146104459,6,compressed,Transformer
51,5.52297368178526,7,compressed,Transformer
51,4.96356195021863,8,compressed,Transformer
51,4.77061830277669,9,compressed,Transformer
51,4.00381080458379,10,compressed,Transformer
51,5.18760034399409,11,compressed,Transformer
51,3.28570393732271,12,compressed,Transformer
51,4.44457423475069,13,compressed,Transformer
51,3.26163448665731,14,compressed,Transformer
51,3.1738572252885,15,compressed,Transformer
51,4.70580742829355,16,compressed,Transformer
51,8.05866863882613,17,compressed,Transformer
51,5.517114489423,18,compressed,Transformer
51,9.13796859636465,19,compressed,Transformer
51,4.52083429834482,20,compressed,Transformer
51,5.57313102956108,21,compressed,Transformer
51,6.65041057046768,22,compressed,Transformer
51,4.38062674159266,23,compressed,Transformer
52,2.10962324186775,0,compressed,Transformer
52,3.23615425619507,1,compressed,Transformer
52,3.09952893363066,2,compressed,Transformer
52,3.52970569414201,3,compressed,Transformer
0,4.78425475623808,0,compressed,Transformer
0,2.18970507482554,1,compressed,Transformer
0,2.74801163751013,2,compressed,Transformer
0,4.14102713057873,3,compressed,Transformer
0,3.45377014060608,4,compressed,Transformer
