dialogID,ppl,position,type,model
42,10.8175626872262,0,compressed,LSTM
42,7.18521037170505,1,compressed,LSTM
42,7.89154806965597,2,compressed,LSTM
42,7.25035455728366,3,compressed,LSTM
42,7.06177317877092,4,compressed,LSTM
42,5.76291409974844,5,compressed,LSTM
42,8.34821631566608,6,compressed,LSTM
42,7.4713876271167,7,compressed,LSTM
42,10.0858613501528,8,compressed,LSTM
42,12.8726815315874,9,compressed,LSTM
42,9.03522536245602,10,compressed,LSTM
42,6.91819314766899,11,compressed,LSTM
42,8.63899073390098,12,compressed,LSTM
42,31.120913071235,13,compressed,LSTM
42,10.6325010130089,14,compressed,LSTM
42,5.94768825194079,15,compressed,LSTM
42,7.75900876418703,16,compressed,LSTM
42,21.5107124285465,17,compressed,LSTM
42,36.4006752774825,18,compressed,LSTM
42,9.46510389249768,19,compressed,LSTM
42,32.7139330719796,20,compressed,LSTM
43,78.0104658060997,0,compressed,LSTM
43,86.2755080154094,1,compressed,LSTM
43,29.7612316850376,2,compressed,LSTM
43,22.2800694363211,3,compressed,LSTM
43,45.1212088138803,4,compressed,LSTM
43,21.9610221428309,5,compressed,LSTM
43,33.3705806863665,6,compressed,LSTM
43,21.4953937678247,7,compressed,LSTM
43,49.6755948611827,8,compressed,LSTM
43,18.0071175192115,9,compressed,LSTM
43,22.1965361377215,10,compressed,LSTM
43,35.6409376505258,11,compressed,LSTM
43,21.6453668973976,12,compressed,LSTM
43,26.9331943898018,13,compressed,LSTM
43,17.1480729888043,14,compressed,LSTM
43,56.6709359621919,15,compressed,LSTM
43,38.036590814635,16,compressed,LSTM
43,32.8761837980779,17,compressed,LSTM
43,23.8075996960068,18,compressed,LSTM
43,39.7246739083208,19,compressed,LSTM
43,24.6010016815964,20,compressed,LSTM
43,39.6101348571004,21,compressed,LSTM
43,33.495678658498,22,compressed,LSTM
43,14.1437310161299,23,compressed,LSTM
43,12.3711780373215,24,compressed,LSTM
43,16.3467054386692,25,compressed,LSTM
43,30.5479316604747,26,compressed,LSTM
43,16.9006131307902,27,compressed,LSTM
43,16.7849793437796,28,compressed,LSTM
43,23.6948944216209,29,compressed,LSTM
43,51.7610958931048,30,compressed,LSTM
43,14.0736838473842,31,compressed,LSTM
43,28.3436637787245,32,compressed,LSTM
43,35.313530996234,33,compressed,LSTM
43,12.5414737455076,34,compressed,LSTM
43,19.5400365109556,35,compressed,LSTM
43,19.0314222067148,36,compressed,LSTM
43,35.5965490827249,37,compressed,LSTM
43,25.0302811058038,38,compressed,LSTM
43,23.8515909050395,39,compressed,LSTM
43,23.7261896118476,40,compressed,LSTM
43,16.9227329926767,41,compressed,LSTM
43,15.9371470618723,42,compressed,LSTM
43,17.6969970346279,43,compressed,LSTM
44,4.92230981522032,0,compressed,LSTM
44,5.8827741578193,1,compressed,LSTM
44,7.47255448126713,2,compressed,LSTM
44,4.76907623218802,3,compressed,LSTM
44,6.55075466684916,4,compressed,LSTM
44,5.20863356464857,5,compressed,LSTM
44,7.45602354971679,6,compressed,LSTM
44,4.78517250137591,7,compressed,LSTM
44,7.25874840150711,8,compressed,LSTM
44,5.42677856446394,9,compressed,LSTM
44,6.00380363505931,10,compressed,LSTM
45,9.11851210540901,0,compressed,LSTM
45,5.86462220335362,1,compressed,LSTM
45,11.3810762684855,2,compressed,LSTM
45,12.1107145054269,3,compressed,LSTM
45,7.24197300943319,4,compressed,LSTM
45,10.187109261876,5,compressed,LSTM
45,6.87568415330616,6,compressed,LSTM
45,6.95116017267479,7,compressed,LSTM
45,6.6630652287036,8,compressed,LSTM
45,5.43618714066578,9,compressed,LSTM
45,6.5884864190152,10,compressed,LSTM
45,5.28764059058586,11,compressed,LSTM
45,5.70286921633985,12,compressed,LSTM
46,8.26883800453211,0,compressed,LSTM
46,5.89127983060289,1,compressed,LSTM
46,6.78107534276746,2,compressed,LSTM
47,10.8842827952111,0,compressed,LSTM
47,7.56181577615764,1,compressed,LSTM
47,8.55431009640079,2,compressed,LSTM
47,9.80033746733633,3,compressed,LSTM
47,10.580678253155,4,compressed,LSTM
47,10.3475279557858,5,compressed,LSTM
47,8.25180258096538,6,compressed,LSTM
47,9.52357545606972,7,compressed,LSTM
